FUND_NAME,DEVISE_FONDS,PORTFOLIO_IK_PASSIF,SECURITY_ISIN,SECURITY_ID,SECURITY_NAME,DEVISE_PART,PORTEFEUILLE_HEDGE,DATE_DAYS,DATE_LIVE,DATE_CLOTURE,FX_RATE_PROFILE,Benchmark1 Code,Benchmark1 Name
Edmond de Rothschild Fund Euro High Yield,EUR,18506,LU1160364797,EDRSEHJ LX,EdR Fund Euro High Yield J - EUR,EUR,Pas de hedge,2010-10-07 00:00:00.000,2015-07-03 00:00:00.000,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,62593,LU1564424882,EDEHYKE LX,EdR Fund Euro High Yield K - EUR,EUR,Pas de hedge,2020-12-10 00:00:00.000,2020-12-11 00:00:00.000,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,18510,LU1160364441,EDRSEHN LX,EdR Fund Euro High Yield N - EUR,EUR,Pas de hedge,2010-06-17 00:00:00.000,2015-07-03 00:00:00.000,2024-03-07,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,18514,LU1160364102,EDRSEHO LX,EdR Fund Euro High Yield O - EUR,EUR,Pas de hedge,2012-05-25 00:00:00.000,2015-07-03 00:00:00.000,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
Edmond de Rothschild Fund Euro High Yield,EUR,18518,LU1160363989,EDRSEHR LX,EdR Fund Euro High Yield R - EUR,EUR,Pas de hedge,2012-02-10 00:00:00.000,2015-07-03 00:00:00.000,,FIXING 16H,BI_NI_EDR-SIGN-HY,100% ICE BofA BB-B Euro Non-Financial H-Y Constrained 
EdR SICAV - Euro Sustainable Equity,EUR,188,FR0010505578,STHOPME FP,EdR SICAV - Euro Sustainable Equity A - EUR,EUR,Pas de hedge,1984-07-05 00:00:00.000,2010-01-29 00:00:00.000,,FIXING 16H,BI_NI_SH-EUR-SRI,100% MSCI EMU (NR) 
EdR SICAV - Euro Sustainable Equity,EUR,85000,FR001400MEF5,EDSUAUS FP,EdR SICAV - Euro Sustainable Equity A - USD,USD,Pas de hedge,2024-05-28 00:00:00.000,2024-05-29 00:00:00.000,,FIXING 16H,BI_NI_SH-EUR-SRI,100% MSCI EMU (NR) 
EdR SICAV - Euro Sustainable Equity,EUR,50114,FR0013400074,EDESEBE FP,EdR SICAV - Euro Sustainable Equity B - EUR,EUR,Pas de hedge,2024-05-28 00:00:00.000,2024-05-29 00:00:00.000,,FIXING 16H,BI_NI_SH-EUR-SRI,100% MSCI EMU (NR) 
EdR SICAV - Euro Sustainable Equity,EUR,44494,FR0013307717,EDSGRCR FP,EdR SICAV - Euro Sustainable Equity CR - EUR,EUR,Pas de hedge,2018-01-10 00:00:00.000,2018-01-11 00:00:00.000,,FIXING 16H,BI_NI_SH-EUR-SRI,100% MSCI EMU (NR) 
EdR SICAV - Euro Sustainable Equity,EUR,51020,FR0013417516,EDESCRD FP,EdR SICAV - Euro Sustainable Equity CRD - EUR,EUR,Pas de hedge,2019-06-05 00:00:00.000,2019-06-06 00:00:00.000,,FIXING 16H,BI_NI_SH-EUR-SRI,100% MSCI EMU (NR) 
EdR SICAV - Euro Sustainable Equity,EUR,363,FR0010769729,STHOPMI FP,EdR SICAV - Euro Sustainable Equity I - EUR,EUR,Pas de hedge,2009-06-30 00:00:00.000,2010-01-29 00:00:00.000,,FIXING 16H,BI_NI_SH-EUR-SRI,100% MSCI EMU (NR) 
EdR SICAV - Euro Sustainable Equity,EUR,51933,FR0013444031,EDESEJE FP,EdR SICAV - Euro Sustainable Equity J - EUR,EUR,Pas de hedge,2022-11-02 00:00:00.000,2022-11-03 00:00:00.000,,FIXING 16H,BI_NI_SH-EUR-SRI,100% MSCI EMU (NR) 
EdR SICAV - Euro Sustainable Equity,EUR,379,FR0010850198,STHOPMR FP,EdR SICAV - Euro Sustainable Equity K - EUR,EUR,Pas de hedge,2010-02-04 00:00:00.000,2010-02-08 00:00:00.000,,FIXING 16H,BI_NI_SH-EUR-SRI,100% MSCI EMU (NR) 
EdR SICAV - Euro Sustainable Equity,EUR,51934,FR0013444049,EDESGOE FP,EdR SICAV - Euro Sustainable Equity O - EUR,EUR,Pas de hedge,2019-09-27 00:00:00.000,2019-09-28 00:00:00.000,,FIXING 16H,BI_NI_SH-EUR-SRI,100% MSCI EMU (NR) 
EdR SICAV - Euro Sustainable Equity,EUR,80098,FR001400GFA5,EDRSUST FP,EdR SICAV - Euro Sustainable Equity P - EUR,EUR,Pas de hedge,2023-03-30 00:00:00.000,2023-03-31 00:00:00.000,,FIXING 16H,BI_NI_SH-EUR-SRI,100% MSCI EMU (NR) 
EdR SICAV - Euro Sustainable Equity,EUR,43193,FR0013287588,EDESERE FP,EdR SICAV - Euro Sustainable Equity R - EUR,EUR,Pas de hedge,2021-04-22 00:00:00.000,2021-04-23 00:00:00.000,,FIXING 16H,BI_NI_SH-EUR-SRI,100% MSCI EMU (NR) 
