Bloomberg Code,Quote Date,Quote Close,Currency
USGG10YR Index,2019-03-14,2.6303,USD
USGG10YR Index,2019-03-15,2.5871,USD
USGG10YR Index,2019-03-18,2.6033,USD
USGG10YR Index,2019-03-19,2.6123,USD
USGG10YR Index,2019-03-20,2.5263,USD
USGG10YR Index,2019-03-21,2.5369,USD
USGG10YR Index,2019-03-22,2.439,USD
USGG10YR Index,2019-03-25,2.3983,USD
USGG10YR Index,2019-03-26,2.423,USD
USGG10YR Index,2019-03-27,2.3665,USD
USGG10YR Index,2019-03-28,2.3946,USD
USGG10YR Index,2019-03-29,2.405,USD
USGG10YR Index,2019-04-01,2.5009,USD
USGG10YR Index,2019-04-02,2.4741,USD
USGG10YR Index,2019-04-03,2.5241,USD
USGG10YR Index,2019-04-04,2.5151,USD
USGG10YR Index,2019-04-05,2.4954,USD
USGG10YR Index,2019-04-08,2.5222,USD
USGG10YR Index,2019-04-09,2.5006,USD
USGG10YR Index,2019-04-10,2.4649,USD
USGG10YR Index,2019-04-11,2.497,USD
USGG10YR Index,2019-04-12,2.5651,USD
USGG10YR Index,2019-04-15,2.5543,USD
USGG10YR Index,2019-04-16,2.5904,USD
USGG10YR Index,2019-04-17,2.594,USD
USGG10YR Index,2019-04-18,2.5596,USD
USGG10YR Index,2019-04-19,2.5596,USD
USGG10YR Index,2019-04-22,2.5885,USD
USGG10YR Index,2019-04-23,2.565,USD
USGG10YR Index,2019-04-24,2.5181,USD
USGG10YR Index,2019-04-25,2.5325,USD
USGG10YR Index,2019-04-26,2.4982,USD
USGG10YR Index,2019-04-29,2.5252,USD
USGG10YR Index,2019-04-30,2.5018,USD
USGG10YR Index,2019-05-01,2.4999,USD
USGG10YR Index,2019-05-02,2.5414,USD
USGG10YR Index,2019-05-03,2.525,USD
USGG10YR Index,2019-05-06,2.4692,USD
USGG10YR Index,2019-05-07,2.4566,USD
USGG10YR Index,2019-05-08,2.4835,USD
USGG10YR Index,2019-05-09,2.4423,USD
USGG10YR Index,2019-05-10,2.4672,USD
USGG10YR Index,2019-05-13,2.4015,USD
USGG10YR Index,2019-05-14,2.4104,USD
USGG10YR Index,2019-05-15,2.3732,USD
USGG10YR Index,2019-05-16,2.3944,USD
USGG10YR Index,2019-05-17,2.3909,USD
USGG10YR Index,2019-05-20,2.4157,USD
USGG10YR Index,2019-05-21,2.4264,USD
USGG10YR Index,2019-05-22,2.382,USD
USGG10YR Index,2019-05-23,2.3185,USD
USGG10YR Index,2019-05-24,2.3202,USD
USGG10YR Index,2019-05-27,2.3202,USD
USGG10YR Index,2019-05-28,2.2658,USD
USGG10YR Index,2019-05-29,2.2605,USD
USGG10YR Index,2019-05-30,2.2133,USD
USGG10YR Index,2019-05-31,2.1246,USD
USGG10YR Index,2019-06-03,2.071,USD
USGG10YR Index,2019-06-04,2.1296,USD
USGG10YR Index,2019-06-05,2.1348,USD
USGG10YR Index,2019-06-06,2.1174,USD
USGG10YR Index,2019-06-07,2.0809,USD
USGG10YR Index,2019-06-10,2.1484,USD
USGG10YR Index,2019-06-11,2.1431,USD
USGG10YR Index,2019-06-12,2.1205,USD
USGG10YR Index,2019-06-13,2.0945,USD
USGG10YR Index,2019-06-14,2.0804,USD
USGG10YR Index,2019-06-17,2.0942,USD
USGG10YR Index,2019-06-18,2.0595,USD
USGG10YR Index,2019-06-19,2.0233,USD
USGG10YR Index,2019-06-20,2.0284,USD
USGG10YR Index,2019-06-21,2.054,USD
USGG10YR Index,2019-06-24,2.0143,USD
USGG10YR Index,2019-06-25,1.985,USD
USGG10YR Index,2019-06-26,2.0468,USD
USGG10YR Index,2019-06-27,2.014,USD
USGG10YR Index,2019-06-28,2.0051,USD
USGG10YR Index,2019-07-01,2.024,USD
USGG10YR Index,2019-07-02,1.974,USD
USGG10YR Index,2019-07-03,1.9498,USD
USGG10YR Index,2019-07-04,1.9498,USD
USGG10YR Index,2019-07-05,2.0338,USD
USGG10YR Index,2019-07-08,2.0476,USD
USGG10YR Index,2019-07-09,2.0648,USD
